Menit,Vdc,Iac,Idc,Pin,Pout,Efisiensi,SoC in A*min,"SoC, slow",SoC in Ah
0,25.5,0.32,2.5,70.4,63.75,90.55397727272727,0.0,0.0,0.0
5,25.6,0.32,2.5,70.4,64.0,90.9090909090909,12.5,3.230391523452642,0.20833333333333334
10,25.7,0.32,2.5,70.4,64.25,91.26420454545455,25.0,6.460783046905284,0.4166666666666667
15,25.8,0.31,2.5,68.2,64.5,94.57478005865102,37.5,9.691174570357926,0.625
20,25.9,0.31,2.5,68.2,64.75,94.94134897360703,50.0,12.921566093810569,0.8333333333333334
25,26.0,0.32,2.5100000000000002,70.4,65.26,92.69886363636364,62.525,16.158418400310115,1.0420833333333333
30,26.1,0.32,2.5100000000000002,70.4,65.51100000000001,93.05539772727273,75.075,19.40173148985657,1.25125
35,26.2,0.32,2.5100000000000002,70.4,65.762,93.41193181818181,87.625,22.64504457940302,1.4604166666666667
40,26.3,0.32,2.5100000000000002,70.4,66.013,93.76846590909092,100.175,25.888357668949475,1.6695833333333332
45,26.4,0.32,2.5100000000000002,70.4,66.264,94.12499999999999,112.725,29.131670758495925,1.87875
50,26.6,0.33,2.5100000000000002,72.60000000000001,66.766,91.9641873278237,125.27499999999999,32.374983848042376,2.0879166666666666
55,26.7,0.33,2.5100000000000002,72.60000000000001,67.01700000000001,92.30991735537191,137.825,35.61829693758883,2.297083333333333
60,26.8,0.33,2.5100000000000002,72.60000000000001,67.26800000000001,92.65564738292011,150.375,38.861610027135285,2.50625
65,26.9,0.33,2.5100000000000002,72.60000000000001,67.519,93.00137741046831,162.925,42.10492311668174,2.715416666666667
70,27.1,0.33,2.5100000000000002,72.60000000000001,68.02100000000002,93.69283746556475,175.47500000000002,45.348236206228194,2.9245833333333335
75,27.2,0.34,2.5100000000000002,74.80000000000001,68.272,91.27272727272727,188.02500000000003,48.59154929577465,3.1337500000000005
80,27.4,0.34,2.5100000000000002,74.80000000000001,68.774,91.94385026737967,200.57500000000005,51.83486238532111,3.3429166666666674
85,27.5,0.34,2.5100000000000002,74.80000000000001,69.025,92.27941176470587,213.12500000000006,55.078175474867564,3.5520833333333344
90,27.7,0.34,2.5100000000000002,74.80000000000001,69.527,92.95053475935828,225.67500000000007,58.32148856441401,3.7612500000000013
95,27.8,0.35,2.5100000000000002,77.0,69.778,90.62077922077923,238.22500000000008,61.56480165396048,3.970416666666668
100,28.0,0.35,2.5100000000000002,77.0,70.28,91.27272727272727,250.7750000000001,64.80811474350693,4.179583333333335
105,28.2,0.36,2.5,79.2,70.5,89.01515151515152,263.30000000000007,68.04496705000646,4.3883333333333345
110,28.4,0.35,2.44,77.0,69.29599999999999,89.99480519480518,275.6500000000001,71.23659387517769,4.594166666666668
115,28.5,0.32,2.2800000000000002,70.4,64.98,92.30113636363636,287.4500000000001,74.28608347331699,4.790833333333335
120,28.6,0.29,2.05,63.8,58.629999999999995,91.89655172413794,298.2750000000001,77.08360253262697,4.971250000000001
125,28.7,0.28,1.9400000000000002,61.60000000000001,55.678000000000004,90.38636363636363,308.2500000000001,79.66145496834218,5.137500000000002
130,28.8,0.27,1.85,59.400000000000006,53.28,89.69696969696969,317.72500000000014,82.1100917431193,5.295416666666669
135,28.8,0.26,1.77,57.2,50.976,89.1188811188811,326.77500000000015,84.44889520609901,5.446250000000003
140,28.9,0.24,1.6500000000000001,52.8,47.685,90.3125,335.32500000000016,86.65848300814062,5.588750000000003
145,28.9,0.2,1.4200000000000002,44.0,41.038000000000004,93.26818181818183,343.00000000000017,88.64194340354055,5.7166666666666694
150,29.0,0.18,1.29,39.6,37.410000000000004,94.46969696969697,349.77500000000015,90.39281560925187,5.829583333333336
155,29.0,0.18,1.2200000000000002,39.6,35.38,89.34343434343435,356.0500000000001,92.01447215402509,5.934166666666669
160,29.1,0.17,1.1500000000000001,37.400000000000006,33.465,89.47860962566845,361.97500000000014,93.54567773614164,6.032916666666669
165,29.1,0.15,1.06,33.0,30.846000000000004,93.47272727272728,367.5000000000001,94.97351078950771,6.125000000000002
170,29.2,0.13,0.9199999999999999,28.6,26.863999999999997,93.93006993006992,372.4500000000001,96.25274583279494,6.207500000000001
175,29.2,0.11,0.7899999999999999,24.2,23.067999999999998,95.32231404958678,376.7250000000001,97.35753973381574,6.278750000000001
180,29.3,0.1,0.73,22.0,21.389,97.22272727272727,380.5250000000001,98.33957875694536,6.342083333333335
185,29.3,0.09,0.63,19.8,18.459,93.22727272727272,383.92500000000007,99.21824525132446,6.3987500000000015
190,29.3,0.08,0.58,17.6,16.994,96.55681818181817,386.95000000000005,100.0,6.449166666666668
